sentence,label,paragraph,hierarchy,doc_id
"Fans around the world held tribute events for the singer on Saturday, ranging from concerts to memorabilia exhibitions.",0,"Elvis knocked X Factor winner Steve Brookstein down into second place after three weeks in the charts. In at number three was Iron Maiden for the Number Of The Beast and Erasure entered the chart at four with Breathe. Elvis's number one is the 999th in chart history and comes the day after what would have been his 70th birthday. Fans around the world held tribute events for the singer on Saturday, ranging from concerts to memorabilia exhibitions. Meanwhile, a poll carried out by royalty payments group the Performing Right Society found that The Wonder of You is the Elvis song most performed by live bands and tribute acts.","Elvis's number one is the 999th in chart history and comes the day after what would have been his 70th birthday.[SEP]Fans around the world held tribute events for the singer on Saturday, ranging from concerts to memorabilia exhibitions.[SEP]Meanwhile, a poll carried out by royalty payments group the Performing Right Society found that The Wonder of You is the Elvis song most performed by live bands and tribute acts.",entertainment234.txt
"The £11.5m show will make its debut in Toronto in March 2006, after it was found that all three West End theatres with sufficient capacity were booked.",0,"The £11.5m show will make its debut in Toronto in March 2006, after it was found that all three West End theatres with sufficient capacity were booked. The musical is not expected in London before December 2006. Producer Kevin Wallace said it would be ""worth waiting for"". ""It will be like nothing they have ever seen before."" ""I know there will be a lot of disappointed British Tolkien fans who hoped to see the show in London, but we couldn't get a London theatre in time,"" added the British producer. The world premiere of the stage musical, co-produced by Canadian theatrical impresarios David and Ed Mirvish, will take place at Toronto's Princess of Wales Theatre next year.","[NULL][SEP]The £11.5m show will make its debut in Toronto in March 2006, after it was found that all three West End theatres with sufficient capacity were booked.[SEP]The musical is not expected in London before December 2006.",entertainment294.txt
"Auditions begin in Canada on Thursday, but up to five British actors may join the cast, under a deal struck with Canadian Actors' Equity.",1,"""Toronto really wanted this premiere. The Tolkien books and films are hugely popular in Canada,"" said Mr Wallace, shortly after signing the deal in Canada. ""We hope the anticipation and excitement over here will create an even bigger buzz by the time we open in London."" Auditions begin in Canada on Thursday, but up to five British actors may join the cast, under a deal struck with Canadian Actors' Equity. The music for the show is being written by Bollywood composer AR Rahman, who was behind Andrew Lloyd Webber's West End musical Bollywood Dreams, and in conjuction with the Finnish group Varttina.","""We hope the anticipation and excitement over here will create an even bigger buzz by the time we open in London.""[SEP]Auditions begin in Canada on Thursday, but up to five British actors may join the cast, under a deal struck with Canadian Actors' Equity.[SEP]The music for the show is being written by Bollywood composer AR Rahman, who was behind Andrew Lloyd Webber's West End musical Bollywood Dreams, and in conjuction with the Finnish group Varttina.",entertainment294.txt
"Mr Fox responded by accusing the prime minister of ""hiding away from the scrutiny of London's media"".",0,"Mr Fox responded by accusing the prime minister of ""hiding away from the scrutiny of London's media"". The Liberal Democrats also say they are planning to hold daily news conferences with Charles Kennedy. On Mrs Howard's role, Mr Fox said: ""Sandra has already been campaigning with Michael on a number of visits and has been undertaking short visits herself. ""That pattern will continue. It's worked very well up until now."" Mrs Howard made her debut speech at the Conservative Party Conference in Bournemouth last October. She used her speech on the fringe to highlight the work of a drugs charity, Addaction, which she supports. Mrs Howard has also appeared along side her husband on TV chat shows. During an interview on ITV1's This Morning she said she often criticised her husband for not showing the side of him that she knows.","[NULL][SEP]Mr Fox responded by accusing the prime minister of ""hiding away from the scrutiny of London's media"".[SEP]The Liberal Democrats also say they are planning to hold daily news conferences with Charles Kennedy.",politics011.txt
Glenn said MSPs are advised to guard against a conflict of interests and a perception of a conflict.,0,"It then emerged Tods Murray has a client which opposes the development. Mr McLetchie then sought guidance from the standards committee to clarify his position. BBC Scotland's political correspondent Glenn Campbell said no complaint had been made against Mr McLetchie, but questions were raised about his dual role. Glenn said MSPs are advised to guard against a conflict of interests and a perception of a conflict.","BBC Scotland's political correspondent Glenn Campbell said no complaint had been made against Mr McLetchie, but questions were raised about his dual role.[SEP]Glenn said MSPs are advised to guard against a conflict of interests and a perception of a conflict.[SEP][NULL]",politics045.txt
"He expects it to be lifted over the next six months, a prediction which has alarmed critics.",0,"He expects it to be lifted over the next six months, a prediction which has alarmed critics. Brad Adams, from Human Rights Watch, said: ""This is a huge political signal from Europe that they are willing to forget about Tiananmen Square. ""There are still thousands of people who are unaccounted for.""","[NULL][SEP]He expects it to be lifted over the next six months, a prediction which has alarmed critics.[SEP]Brad Adams, from Human Rights Watch, said: ""This is a huge political signal from Europe that they are willing to forget about Tiananmen Square.",politics136.txt
"The Scottish National Party's parliamentary leader argued that under the law, authorisation of Ferguson's leave of absence would have come directly from ministers.",1,"The Scottish National Party's parliamentary leader argued that under the law, authorisation of Ferguson's leave of absence would have come directly from ministers. She said: ""The Scottish Executive seemed to indicate yesterday that the escape of Mr Ferguson was a matter for Carstairs. ""However, my understanding is that, under the mental health legislation, the decision to grant this patient - and any restricted patient - leave of absence, would have required direct and specific authorisation by Scottish ministers."" She added: ""I have written to the first minister today asking for confirmation of that fact. I have also asked him to confirm which minister would routinely take decisions of this nature and what information they are based on. ""This is not an attempt to apportion blame, but to ensure a better understanding of the decision making process in such important and sensitive cases.""","[NULL][SEP]The Scottish National Party's parliamentary leader argued that under the law, authorisation of Ferguson's leave of absence would have come directly from ministers.[SEP]She said: ""The Scottish Executive seemed to indicate yesterday that the escape of Mr Ferguson was a matter for Carstairs.",politics174.txt
"""However, my understanding is that, under the mental health legislation, the decision to grant this patient - and any restricted patient - leave of absence, would have required direct and specific authorisation by Scottish ministers.""",0,"The Scottish National Party's parliamentary leader argued that under the law, authorisation of Ferguson's leave of absence would have come directly from ministers. She said: ""The Scottish Executive seemed to indicate yesterday that the escape of Mr Ferguson was a matter for Carstairs. ""However, my understanding is that, under the mental health legislation, the decision to grant this patient - and any restricted patient - leave of absence, would have required direct and specific authorisation by Scottish ministers."" She added: ""I have written to the first minister today asking for confirmation of that fact. I have also asked him to confirm which minister would routinely take decisions of this nature and what information they are based on. ""This is not an attempt to apportion blame, but to ensure a better understanding of the decision making process in such important and sensitive cases.""","She said: ""The Scottish Executive seemed to indicate yesterday that the escape of Mr Ferguson was a matter for Carstairs.[SEP]""However, my understanding is that, under the mental health legislation, the decision to grant this patient - and any restricted patient - leave of absence, would have required direct and specific authorisation by Scottish ministers.""[SEP]She added: ""I have written to the first minister today asking for confirmation of that fact.",politics174.txt
"She added: ""I have written to the first minister today asking for confirmation of that fact.",0,"The Scottish National Party's parliamentary leader argued that under the law, authorisation of Ferguson's leave of absence would have come directly from ministers. She said: ""The Scottish Executive seemed to indicate yesterday that the escape of Mr Ferguson was a matter for Carstairs. ""However, my understanding is that, under the mental health legislation, the decision to grant this patient - and any restricted patient - leave of absence, would have required direct and specific authorisation by Scottish ministers."" She added: ""I have written to the first minister today asking for confirmation of that fact. I have also asked him to confirm which minister would routinely take decisions of this nature and what information they are based on. ""This is not an attempt to apportion blame, but to ensure a better understanding of the decision making process in such important and sensitive cases.""","""However, my understanding is that, under the mental health legislation, the decision to grant this patient - and any restricted patient - leave of absence, would have required direct and specific authorisation by Scottish ministers.""[SEP]She added: ""I have written to the first minister today asking for confirmation of that fact.[SEP]I have also asked him to confirm which minister would routinely take decisions of this nature and what information they are based on.",politics174.txt
I have also asked him to confirm which minister would routinely take decisions of this nature and what information they are based on.,0,"The Scottish National Party's parliamentary leader argued that under the law, authorisation of Ferguson's leave of absence would have come directly from ministers. She said: ""The Scottish Executive seemed to indicate yesterday that the escape of Mr Ferguson was a matter for Carstairs. ""However, my understanding is that, under the mental health legislation, the decision to grant this patient - and any restricted patient - leave of absence, would have required direct and specific authorisation by Scottish ministers."" She added: ""I have written to the first minister today asking for confirmation of that fact. I have also asked him to confirm which minister would routinely take decisions of this nature and what information they are based on. ""This is not an attempt to apportion blame, but to ensure a better understanding of the decision making process in such important and sensitive cases.""","She added: ""I have written to the first minister today asking for confirmation of that fact.[SEP]I have also asked him to confirm which minister would routinely take decisions of this nature and what information they are based on.[SEP]""This is not an attempt to apportion blame, but to ensure a better understanding of the decision making process in such important and sensitive cases.""",politics174.txt
The announcement from Mr Leslie - who was elected in 1997 in a formerly safe Tory seat - prompted calls for a lowering of the voting age to 16.,0,"The announcement from Mr Leslie - who was elected in 1997 in a formerly safe Tory seat - prompted calls for a lowering of the voting age to 16. The Votes at 16 alliance said it was a good thing to ""engage people"" by lowering the candidacy age but argued lowering the voting age would be much more effective. ""Candidacy affects only politicians. The voting age affects millions of younger people,"" said spokesman Alex Folkes. ""We would hope that the government will table a bill that is broad enough to allow for amendments to be brought to test support for a reduction in the voting age.""","[NULL][SEP]The announcement from Mr Leslie - who was elected in 1997 in a formerly safe Tory seat - prompted calls for a lowering of the voting age to 16.[SEP]The Votes at 16 alliance said it was a good thing to ""engage people"" by lowering the candidacy age but argued lowering the voting age would be much more effective.",politics345.txt
So it was only right that the campaign concentrated on rigorously examining the opposition's policies and past record.,0,"Nobody, he claimed, could picture Liberal Democrat leader Charles Kennedy walking up Downing Street the day after polling. They could, however, picture Michael Howard or, of course, Tony Blair doing it. So it was only right that the campaign concentrated on rigorously examining the opposition's policies and past record. And Tony Blair would be in the very front line of that campaign, he said. ""Between now and the election the prime minister will be spending more time out of London than in it but in Britain, not overseas,"" he promised. ""He will be leading the domestic debate from the front, listening, taking the flak."" So, let's get on with it then.","They could, however, picture Michael Howard or, of course, Tony Blair doing it.[SEP]So it was only right that the campaign concentrated on rigorously examining the opposition's policies and past record.[SEP]And Tony Blair would be in the very front line of that campaign, he said.",politics346.txt
"Until 1857, the only way in England to get a full divorce which allowed re-marriage was to obtain an Act of Parliament by proving adultery or life-threatening cruelty.",0,"Few realise that Westminster in effect has its own divorce den. For sprinkled among 12 floors of archives are blow-by-blow accounts of marital break-ups - and now you can search what's there online. Until 1857, the only way in England to get a full divorce which allowed re-marriage was to obtain an Act of Parliament by proving adultery or life-threatening cruelty. The legacy is pages of testimonies used in the hearings, dating back to 1670, all recorded among the 325,000 items which fill the 12 floors of the parliamentary archives in Parliament's Victoria Tower. Most people researching their family history want to discover some tale of illicit love. This gives them the chance.","For sprinkled among 12 floors of archives are blow-by-blow accounts of marital break-ups - and now you can search what's there online.[SEP]Until 1857, the only way in England to get a full divorce which allowed re-marriage was to obtain an Act of Parliament by proving adultery or life-threatening cruelty.[SEP]The legacy is pages of testimonies used in the hearings, dating back to 1670, all recorded among the 325,000 items which fill the 12 floors of the parliamentary archives in Parliament's Victoria Tower.",politics393.txt
"Council tax payers are not eligible to vote without registration, officials have stressed.",0,"Completed registration forms can be handed into local authorities throughout the day on Friday, and some will accept them by fax. As well as for English county councils, polls for unitary authorities at Bristol, Isle of Wight and Stockton-on-Tees and mayors at Doncaster, Hartlepool, North Tyneside and Stoke-on-Trent are also scheduled for 5 May. Last week Preston City Council reported that more than 14,000 of its voters were not registered. Its electoral roll fell by 17.5% in a year - the biggest dip in the UK. An Electoral Commission spokeswoman said: ""Political decisions are made on your behalf every day but only by using your right to vote at an election can you really have a say on the issues you care about. ""If you want your voice to be heard on 5 May you will need to have registered by Friday 11 March."" Council tax payers are not eligible to vote without registration, officials have stressed.","""If you want your voice to be heard on 5 May you will need to have registered by Friday 11 March.""[SEP]Council tax payers are not eligible to vote without registration, officials have stressed.[SEP][NULL]",politics412.txt
The manager got his wish to avoid a repeat of finishing their bid to qualify with too many away matches.,0,"Ireland will close their bid to reach the 2006 finals by playing Switzerland in Dublin on 12 October 2005. The Republic met the Swiss in their final Euro 2004 qualifier, losing 2-0 away and missing out on a place in the finals in Portugal. The Group Four fixtures were hammered out at a meeting in Dublin on Tuesday. The Irish open their campaign on 4 September at home to Cyprus and wrap up the 10-match series on 12 October 2005, with the visit of Switzerland. Manager Brian Kerr and FAI officials met representatives from Switzerland, France, Cyprus, Israel and the Faroe Islands to arrange the fixture schedule. Kerr had hoped to finish with a clash against France, but got the reigning European champions as their penultimate home match on 7 September 2005. The manager got his wish to avoid a repeat of finishing their bid to qualify with too many away matches.","Kerr had hoped to finish with a clash against France, but got the reigning European champions as their penultimate home match on 7 September 2005.[SEP]The manager got his wish to avoid a repeat of finishing their bid to qualify with too many away matches.[SEP][NULL]",sport134.txt
Van Persie is suspended alongside Dennis Bergkamp and Jose Antonio Reyes after being sent off at Southampton when Arsenal had a numerical advantage.,1,"Van Persie is suspended alongside Dennis Bergkamp and Jose Antonio Reyes after being sent off at Southampton when Arsenal had a numerical advantage. Thierry Henry is ruled out with an Achilles tendon injury but Cole said: ""No-one is putting the blame on Robin. ""It's just something that happens on the spur of the moment."" Cole added: ""I've done it before and I hope they didn't blame me for anything. ""Of course he'll learn. I've been sent off a couple of times now and it's just one of those things when you go a bit crazy for one or two seconds. Freddie Ljungberg is likely to be used in an emergency striking role and will be partnered by either Arturo Lupoli, Quincy Owusu-Abeyie or Jeremie Aliadiere. Gunners boss Arsene Wenger said: ""Freddie is an option but we need a second striker. ""I have to decide whether it will be Aliadiere, Quincy or Lupoli who will start with him up front. Those three will be involved."" Arsenal are also without winger Robert Pires, who sustained an ankle injury at St Mary's. Wenger added: ""It doesn't look like anything is fractured, but it is a good ankle sprain. ""It does not look like Pires will be ready for two to three weeks.""","[NULL][SEP]Van Persie is suspended alongside Dennis Bergkamp and Jose Antonio Reyes after being sent off at Southampton when Arsenal had a numerical advantage.[SEP]Thierry Henry is ruled out with an Achilles tendon injury but Cole said: ""No-one is putting the blame on Robin.",sport178.txt
"""When Graeme discovered this he immediately ordered Bellamy to attend a meeting in my office.",0,"Bellamy's claim that Souness had lied about the background to the bust-up was strongly denied by Shepherd, who accused the striker of ""cheating"" the club. ""I wish to put the record straight regarding the Bellamy situation,"" said Shepherd. ""Craig walked off the training ground saying his hamstring was tight (on Friday), but what he failed to reveal was that he had told other members of the squad before training that he intended to feign injury. ""When Graeme discovered this he immediately ordered Bellamy to attend a meeting in my office. ""At that meeting Bellamy admitted to Graeme and I that he had told the players that he was going to ""fake"" an injury in training and walk off. ""He also agreed at that meeting to apologise to his team-mates for his behaviour. He didn't do this which resulted in the action taken by the manager at the weekend, which I fully support. ""In my book this is cheating on the club, the supporters, the manager and his own team-mates. ""He is paid extremely well and I consider his behaviour to be totally unacceptable and totally unprofessional.""","""Craig walked off the training ground saying his hamstring was tight (on Friday), but what he failed to reveal was that he had told other members of the squad before training that he intended to feign injury.[SEP]""When Graeme discovered this he immediately ordered Bellamy to attend a meeting in my office.[SEP]""At that meeting Bellamy admitted to Graeme and I that he had told the players that he was going to ""fake"" an injury in training and walk off.",sport260.txt
"The latest trends in digital imaging, storage technologies, thinner flat screen and high-definition TVs, wireless and portable technologies, gaming, and broadband technologies will all be on show over the three days.",0,"Mr Gates made no announcement about the next generation Xbox games console, which many gadget lovers had been hoping for. About 120,000 people are expected to attend the trade show which stretches over more than 1.5 million square feet and runs from 6 to 9 January. The latest trends in digital imaging, storage technologies, thinner flat screen and high-definition TVs, wireless and portable technologies, gaming, and broadband technologies will all be on show over the three days.","About 120,000 people are expected to attend the trade show which stretches over more than 1.5 million square feet and runs from 6 to 9 January.[SEP]The latest trends in digital imaging, storage technologies, thinner flat screen and high-definition TVs, wireless and portable technologies, gaming, and broadband technologies will all be on show over the three days.[SEP][NULL]",tech134.txt
"Several partnerships with device and hardware manufacturers were highlighted during Mr Gates' speech, but there were few major groundbreaking new technology announcements.",0,"Mr Gates said the PC, like Microsoft's Media Centre, had a central role to play in how people would be making the most out of audio, video and images but it would not be the only device. ""It is the way all these devices work together which will make the difference,"" he said. He also cited the success of the Microsoft Xbox video game Halo 2, released in November, which pushed Xbox console sales past PlayStation in the last two months of 2004 for the first time in 2004. The game, which makes use of the Xbox Live online games service, has sold 6.23 million copies since its release. ""People are online and playing together and that really points to the future,"" he said. Several partnerships with device and hardware manufacturers were highlighted during Mr Gates' speech, but there were few major groundbreaking new technology announcements. Although most of these affected largely US consumers, the technologies highlighted the kind of trends to come. These included what Mr Gates called an ""ecosystem of technologies"", like SBC's IPTV, a high-definition TV and digital video recorder that worked via broadband to give high-quality and fast TV. There were also other deals announced which meant that people could watch and control content over portable devices and mobile phones.","""People are online and playing together and that really points to the future,"" he said.[SEP]Several partnerships with device and hardware manufacturers were highlighted during Mr Gates' speech, but there were few major groundbreaking new technology announcements.[SEP]Although most of these affected largely US consumers, the technologies highlighted the kind of trends to come.",tech134.txt
"""We are looking at offering different types of seats, depending on the market success of this one.""",0,"Hotseat is targeting keen gamers with money to spend with its Solo Chassis gaming chair. The specially-designed chair lets gamers play in surround-sound while stretching out in their own ""space"". It is compatible with all the major games consoles, DVD players and PCs. ""We found that kids love playing in surround sound,"" said Jay LeBoff from Hotseat. ""We are looking at offering different types of seats, depending on the market success of this one."" The chair also lets people experience surround sound while watching videos, with wireless control for six surround sound speakers. And a drinks holder. The chair, which looks like a car seat on a skeletal frame, should go on sale in April and is expected to cost $399 (£211). ","""We found that kids love playing in surround sound,"" said Jay LeBoff from Hotseat.[SEP]""We are looking at offering different types of seats, depending on the market success of this one.""[SEP]The chair also lets people experience surround sound while watching videos, with wireless control for six surround sound speakers.",tech174.txt
"Last year saw the emergence of portable media players, such as the Windows-based Creative Zen portable media player, the Samsung Yepp, the iRiver PMC-100, and the Archos AV400 series among others.",0,"Last year saw the emergence of portable media players, such as the Windows-based Creative Zen portable media player, the Samsung Yepp, the iRiver PMC-100, and the Archos AV400 series among others. But this year, they are set to get smarter and more connected, to allow people to find more video to watch on them. Archos launched its latest range of its Linux-based portable media devices at the Consumer Electronics Show in Las Vegas on Friday. Dubbed the Pocket Media Assistant PMA430, it crucially has wi-fi capability built-in for the first time. ""Consumers are showing a great thirst for devices that store all their media in one place for anywhere access,"" said Henri Crohas, chief of Archos. ""And now those consumers can stay connected and productive at the same time."" Archos said the focus for the device is to be the second gadget in people's pockets, after the mobile.","[NULL][SEP]Last year saw the emergence of portable media players, such as the Windows-based Creative Zen portable media player, the Samsung Yepp, the iRiver PMC-100, and the Archos AV400 series among others.[SEP]But this year, they are set to get smarter and more connected, to allow people to find more video to watch on them.",tech222.txt
Recording is perhaps a crucial functionality for those who have not seen the point of portable video if there is not a lot of video to watch on it.,0,"Recording is perhaps a crucial functionality for those who have not seen the point of portable video if there is not a lot of video to watch on it. And wi-fi connectivity opens up the possibility of content delivery via a high-speed wireless link. Archos also announced that it would open up the software development kit to Linux developers so that more applications could be created for the device. Microsoft also made some announcements in the portable media arena at CES, primarily for US consumers though. It has agreed a content deal with personal video recorder company TiVo, which Bill Gates also showcased in his keynote speech at CES. The TiVo To Go service means that US consumers will be able to take any programmes they record on their TiVos and transfer it for free to watch on any of the Windows-based portable media players or smartphones. It also said it had launched a service with MTV to let people watch Comedy Central, VH1 and Country Music TV on its devices. And a service is launching with MSN to provide people with shortened versions of news, entertainment and other video on a subscription basis for download via the PC onto the portable devices. But the ability to record directly from TV, VCR, and digital cable and satellite boxes, which Windows-based devices do not offer, certainly gives people more content to watch on the go too.",[NULL][SEP]Recording is perhaps a crucial functionality for those who have not seen the point of portable video if there is not a lot of video to watch on it.[SEP]And wi-fi connectivity opens up the possibility of content delivery via a high-speed wireless link.,tech222.txt
The TiVo To Go service means that US consumers will be able to take any programmes they record on their TiVos and transfer it for free to watch on any of the Windows-based portable media players or smartphones.,0,"Recording is perhaps a crucial functionality for those who have not seen the point of portable video if there is not a lot of video to watch on it. And wi-fi connectivity opens up the possibility of content delivery via a high-speed wireless link. Archos also announced that it would open up the software development kit to Linux developers so that more applications could be created for the device. Microsoft also made some announcements in the portable media arena at CES, primarily for US consumers though. It has agreed a content deal with personal video recorder company TiVo, which Bill Gates also showcased in his keynote speech at CES. The TiVo To Go service means that US consumers will be able to take any programmes they record on their TiVos and transfer it for free to watch on any of the Windows-based portable media players or smartphones. It also said it had launched a service with MTV to let people watch Comedy Central, VH1 and Country Music TV on its devices. And a service is launching with MSN to provide people with shortened versions of news, entertainment and other video on a subscription basis for download via the PC onto the portable devices. But the ability to record directly from TV, VCR, and digital cable and satellite boxes, which Windows-based devices do not offer, certainly gives people more content to watch on the go too.","It has agreed a content deal with personal video recorder company TiVo, which Bill Gates also showcased in his keynote speech at CES.[SEP]The TiVo To Go service means that US consumers will be able to take any programmes they record on their TiVos and transfer it for free to watch on any of the Windows-based portable media players or smartphones.[SEP]It also said it had launched a service with MTV to let people watch Comedy Central, VH1 and Country Music TV on its devices.",tech222.txt
